x,y
-4.248800,4.579938
3.643387,-1.866100
3.697896,-2.301614
-4.282625,-2.753283
3.138387,-2.581567
-3.804973,3.428216
3.214997,-0.519556
2.732682,-2.115634
-3.980164,3.118328
3.522517,-2.561199
3.665821,-2.067855
-4.057713,2.360825
3.605691,3.886349
-3.645424,-2.605477
3.303615,-2.559016
-3.584238,-2.676122
-3.524815,2.193767
-3.949992,3.162820
-3.919677,-3.275254
-4.851826,-2.923657
-3.958169,3.104056
-3.738788,-3.555211
4.431020,6.075060
-4.162598,-3.066930
2.103713,-1.649888
-3.374930,3.474532
-4.155144,2.204753
4.882504,4.511546
-4.622331,2.852874
-3.908555,3.308592
-3.165990,1.937293
-2.867111,-2.627802
4.798587,2.483604
-3.936818,2.722835
3.129757,-1.984053
2.475076,-3.450110
-2.856417,2.087199
-3.603835,4.042784
-4.203303,-2.872277
3.716415,-2.060185
1.536631,-1.670374
2.256821,-2.040123
-5.218547,-3.314440
-3.337893,-2.792669
-4.602749,2.820702
5.213941,3.755812
-3.099163,-3.079823
-4.639054,-2.418030
-3.917918,-2.085072
-2.471558,-3.367138
3.561252,4.187400
3.035511,-2.519581
4.544417,4.015679
3.081903,3.222601
-3.795486,2.859325
3.144631,3.459190
2.737724,-2.113579
-4.464675,-2.552481
4.364919,4.555404
3.651360,-2.724099
3.075607,-2.882814
3.231959,-2.271508
2.804167,-1.519623
4.618671,3.579267
2.000840,-2.222743
4.710734,3.938132
-4.019024,-2.251065
3.397856,-2.339107
2.784626,-1.996896
-3.965820,3.048558
-3.726750,3.556954
3.829099,3.668091
-5.120399,2.173949
-3.216180,2.679953
-3.022483,-2.910965
-4.464844,-3.088191
1.157565,-1.489995
4.733491,2.876983
-4.415318,-2.884302
-4.283079,3.589797
-4.677794,-3.643996
3.640260,4.352876
-3.887359,-3.276308
-4.044890,-3.038464
3.677241,3.932643
-4.374830,3.779237
-3.584518,2.846899
3.173834,4.086042
-4.802627,3.277902
-4.818671,-2.391844
-2.208380,-1.582091
3.486748,2.706153
3.640706,3.837166
-4.861009,-2.921260
-4.578072,-2.350057
3.354058,4.411838
-4.016220,3.143578
3.551760,-1.238303
-4.597590,-2.695204
4.056940,3.180240
3.408479,4.004424
-3.883241,4.217672
3.062119,-2.343555
2.648287,3.984738
4.181830,-1.982134
-3.588387,-3.880688
-3.856906,-3.282594
4.257040,4.623846
3.051484,-1.161624
-4.853131,2.172654
-3.416254,-2.488027
-3.959863,-2.790525
4.753752,3.526429
3.723293,-1.071101
3.458277,4.266181
-4.371653,3.976975
-4.363661,2.535534
-4.400902,2.458588
-3.549823,1.901303
4.119882,3.342149
-4.555186,-2.891743
-3.534262,4.343238
2.900781,-1.819996
5.030300,-1.510317
2.137856,-1.312356
4.588595,3.508685
-4.845612,2.537571
-4.117730,4.217219
-4.267650,-2.887207
2.910178,-2.886527
3.891704,3.458012
-4.107090,-3.293448
3.355750,-1.785404
-4.249380,1.310342
-4.309885,-3.009743
4.990756,4.260275
-4.025489,-2.767236
3.586576,5.019303
3.226609,-2.461788
-3.859137,3.697057
-3.553194,-3.131421
-3.658836,-2.483487
3.666647,-0.904837
4.115660,2.378806
4.303458,3.248787
4.828585,3.294271
-4.091338,-3.618492
-4.499232,-2.393307
-4.744178,-3.471076
4.319772,4.525733
-4.771989,-2.655841
3.896710,5.035628
-4.218365,-2.863274
3.534007,3.328496
-3.585801,3.832453
-3.649989,3.079052
-2.421823,-3.262336
2.586142,-1.771444
4.089576,4.751097
3.914640,5.290946
2.477409,-2.528496
3.497059,3.695966
4.077567,2.813960
-4.689783,-3.451330
3.159482,-2.366514
2.939494,-2.665280
-3.738081,4.595003
5.148681,4.330842
-4.619873,-2.691950
-3.483115,2.293507
3.904757,3.585066
-3.336948,-3.160521
3.865179,4.612046
-3.216017,-2.795226
4.294850,4.476922
4.640566,4.098752
3.123601,4.123180
-3.384821,2.656228
-3.566194,3.557346
2.728595,-1.765516
4.047677,4.200745
-3.495953,-2.768383
2.682529,-1.843761
-4.483848,4.046511
-4.521893,4.164475
-4.363309,-3.205823
5.157104,4.279859
2.131367,-2.088769
-4.187362,-3.101659
4.784268,3.669137
3.191253,-2.483555
4.335242,4.428791
3.618107,3.321122
-5.370059,-3.012755
-4.545359,1.155019
-3.658289,5.188565
-5.327428,-2.371903
4.283510,5.181699
-3.976146,4.442068
4.888428,-1.510557
-3.098346,-3.250013
-3.887824,1.887307
-3.572046,3.199277
-3.147864,3.413583
2.889761,-2.248270
2.398887,-2.070627
2.780368,-1.686510
-3.156217,4.108426
3.748742,-2.053840
-5.263678,-3.576703
4.033247,4.076873
2.118301,-1.873074
-2.535053,2.309762
-4.561368,-4.029622
-4.473516,1.665630
4.434815,3.858111
-6.061078,3.417977
-4.307992,2.594036
-2.930803,-3.323586
2.272545,-1.956409
2.177265,-1.429481
1.330042,-2.634466
-4.334095,-2.704520
3.867377,-1.198830
3.137821,-1.971281
2.551962,-1.208305
4.069916,4.446034
3.203935,-2.705900
-4.261311,3.276855
-3.532932,1.930139
-3.550714,-2.178925
3.408770,2.682508
4.355318,-1.618780
5.207087,3.593515
4.262827,3.329832
3.010805,5.023359
3.360777,-2.325618
-3.411547,2.454368
3.530059,-2.286620
-3.629859,3.570790
